zone,left_ratio,middle_ratio,right_ratio,timestamp
MIDDLE,0.9616,0.0,0.4902,23:48:30
MIDDLE,0.9169,0.0,0.4902,23:48:30
MIDDLE,0.9169,0.0,0.5369,23:48:30
MIDDLE,1.0995,0.0,0.5369,23:48:31
MIDDLE,1.0995,0.0,0.5369,23:48:31
MIDDLE,1.2497,0.0,0.5369,23:48:31
MIDDLE,1.2497,0.0,0.4886,23:48:31
MIDDLE,1.2118,0.0,0.4886,23:48:31
MIDDLE,1.2118,0.0,0.5411,23:48:31
MIDDLE,1.2297,0.0,0.5411,23:48:31
MIDDLE,1.2297,0.0,0.5618,23:48:31
MIDDLE,1.0787,0.0,0.5618,23:48:31
MIDDLE,1.0303,0.0,0.4999,23:48:32
MIDDLE,0.9764,0.0,0.4499,23:48:32
MIDDLE,0.9243,0.0,0.4425,23:48:32
MIDDLE,0.8644,0.0,0.3662,23:48:32
MIDDLE,0.7721,0.0,0.3662,23:48:32
MIDDLE,0.7721,0.0,0.3176,23:48:32
MIDDLE,0.7764,0.0,0.3822,23:48:33
MIDDLE,0.8242,0.0,0.4631,23:48:33
MIDDLE,0.9288,0.0,0.4729,23:48:33
MIDDLE,0.8889,0.0,0.6132,23:48:33
MIDDLE,0.9285,0.0,0.6263,23:48:34
MIDDLE,0.9869,0.0,0.5408,23:48:34
MIDDLE,0.9172,0.0,0.8153,23:48:34
MIDDLE,0.7883,0.0,0.7202,23:48:34
MIDDLE,0.9281,0.0,0.6115,23:48:34
MIDDLE,0.9472,0.0,0.6115,23:48:35
MIDDLE,0.9472,0.0,0.6135,23:48:35
MIDDLE,0.8392,0.0,0.6135,23:48:35
MIDDLE,0.8392,0.0,0.6221,23:48:35
MIDDLE,0.8352,0.0,0.6641,23:48:35
MIDDLE,0.9105,0.0,0.6641,23:48:35
MIDDLE,0.9105,0.0,0.6663,23:48:35
MIDDLE,0.7016,0.0,0.6663,23:48:35
MIDDLE,0.7016,0.0,0.5434,23:48:36
MIDDLE,0.7461,0.0,0.5434,23:48:36
MIDDLE,0.7461,0.0,0.4041,23:48:36
MIDDLE,0.7687,0.0,0.3764,23:48:36
MIDDLE,0.728,0.0,0.4012,23:48:36
MIDDLE,0.7692,0.0,0.4341,23:48:36
MIDDLE,0.8077,0.0,0.4341,23:48:37
MIDDLE,0.8077,0.0,0.4741,23:48:37
MIDDLE,0.9159,0.0,0.4741,23:48:37
MIDDLE,0.9159,0.0,0.418,23:48:37
MIDDLE,0.7603,0.0,0.418,23:48:37
MIDDLE,0.7603,0.0,0.3759,23:48:37
MIDDLE,0.7461,0.0,0.3759,23:48:37
MIDDLE,0.7461,0.0,0.4037,23:48:37
MIDDLE,0.4103,0.0,0.4568,23:48:37
MIDDLE,0.3475,0.0,0.5129,23:48:38
MIDDLE,0.3958,0.0,0.5129,23:48:38
MIDDLE,0.3958,0.0,0.5269,23:48:38
MIDDLE,0.7373,0.0,0.5269,23:48:38
MIDDLE,0.7373,0.0,0.5945,23:48:38
MIDDLE,0.7215,0.0,0.5945,23:48:38
MIDDLE,0.7215,0.0,0.4156,23:48:38
MIDDLE,0.5553,0.0,0.4156,23:48:38
MIDDLE,0.5553,0.0,0.3686,23:48:39
MIDDLE,0.7402,0.0,0.3686,23:48:39
MIDDLE,0.7402,0.0,0.3208,23:48:39
MIDDLE,0.7183,0.0,0.3208,23:48:39
MIDDLE,0.7183,0.0,0.3505,23:48:39
MIDDLE,0.7039,0.0,0.3505,23:48:39
MIDDLE,0.7039,0.0,0.3456,23:48:39
MIDDLE,0.7995,0.0,0.3456,23:48:39
MIDDLE,0.7995,0.0,0.3241,23:48:39
MIDDLE,0.8732,0.0,0.3241,23:48:40
MIDDLE,0.8732,0.0,0.3114,23:48:40
MIDDLE,0.8058,0.0,0.3114,23:48:40
MIDDLE,0.8058,0.0,0.3075,23:48:40
MIDDLE,0.9037,0.0,0.3075,23:48:40
MIDDLE,0.936,0.0,0.3075,23:48:40
MIDDLE,0.9844,0.0,0.3601,23:48:40
MIDDLE,0.9844,0.0,0.4032,23:48:41
MIDDLE,1.089,0.0,0.4032,23:48:41
MIDDLE,1.089,0.0,0.504,23:48:41
MIDDLE,1.0445,0.0,0.504,23:48:41
MIDDLE,1.0445,0.0,0.4944,23:48:41
MIDDLE,0.8637,0.0,0.4944,23:48:41
MIDDLE,0.8637,0.0,0.3876,23:48:41
MIDDLE,0.628,0.0,0.3876,23:48:41
MIDDLE,0.628,0.0,0.3683,23:48:41
MIDDLE,0.7755,0.0,0.3683,23:48:41
MIDDLE,0.8134,0.0,0.5534,23:48:42
MIDDLE,0.8402,0.0,0.4517,23:48:42
MIDDLE,0.7451,0.0,0.5144,23:48:42
RIGHT,0.8801,0.0,0.5911,23:48:57
RIGHT,1.0014,0.0,0.5854,23:48:57
RIGHT,0.9733,0.0,0.5382,23:48:58
RIGHT,0.9879,0.0,0.5587,23:48:58
RIGHT,0.9905,0.0,0.5218,23:48:58
RIGHT,0.9585,0.0,0.6147,23:48:58
RIGHT,1.034,0.0,0.6143,23:48:58
RIGHT,1.0531,0.0,0.6107,23:48:59
RIGHT,1.0786,0.0,0.5691,23:48:59
RIGHT,0.975,0.0,0.5479,23:48:59
RIGHT,0.966,0.0,0.5016,23:48:59
RIGHT,0.9468,0.0,0.5155,23:48:59
RIGHT,0.9398,0.0,0.5236,23:49:00
RIGHT,0.8524,0.0,0.5236,23:49:00
RIGHT,0.8524,0.0,0.5686,23:49:00
